EUVD_ID,CVSS,Risk Level,Product,Vendor,Summary,Updated
EUVD-2025-14419,6.2,Medium,"Windows Server 2008 Service Pack 2 (Server Core installation), Windows Server 2022, Windows Server 2016 (Server Core installation), Windows 10 Version 1809, Windows 10 Version 21H2, Windows 11 version 22H2, Windows 11 version 22H3, Windows Server 2025, Windows Server 2012 R2, Windows 10 Version 1507, Windows Server 2012 R2 (Server Core installation), Windows Server 2008 R2 Service Pack 1 (Server Core installation), Windows Server 2019 (Server Core installation), Windows Server 2008 R2 Service Pack 1, Windows 11 Version 24H2, Windows Server 2019, Windows Server 2022, 23H2 Edition (Server Core installation), Windows 10 Version 22H2, Windows Server 2012 (Server Core installation), Windows Server 2025 (Server Core installation), Windows Server 2008  Service Pack 2, Windows 10 Version 1607, Windows Server 2016, Windows 11 Version 23H2, Windows Server 2008 Service Pack 2, Windows Server 2012",Microsoft,Uncontrolled resource consumption in Windows Deployment Services allows an unauthorized attacker to deny service locally.,"May 17, 2025, 2:32:53 AM"
EUVD-2025-14420,5.4,Medium,"Windows Server 2022, Windows Server 2008 R2 Service Pack 1 (Server Core installation), Windows Server 2008  Service Pack 2, Windows Server 2025 (Server Core installation), Windows 10 Version 1507, Windows Server 2019, Windows Server 2008 Service Pack 2 (Server Core installation), Windows 10 Version 22H2, Windows Server 2022, 23H2 Edition (Server Core installation), Windows Server 2012 R2 (Server Core installation), Windows Server 2016 (Server Core installation), Windows 11 Version 23H2, Windows Server 2012 (Server Core installation), Windows Server 2012, Windows Server 2025, Windows 10 Version 21H2, Windows 11 version 22H2, Windows 10 Version 1607, Windows Server 2016, Windows Server 2019 (Server Core installation), Windows Server 2008 R2 Service Pack 1, Windows 11 version 22H3, Windows Server 2008 Service Pack 2, Windows 11 Version 24H2, Windows 10 Version 1809, Windows Server 2012 R2",Microsoft,Buffer over-read in Windows SMB allows an authorized attacker to disclose information over a network.,"May 17, 2025, 2:32:52 AM"
EUVD-2025-14423,7.5,High,"Windows 10 Version 1607, Windows Server 2025 (Server Core installation), Windows 10 Version 1507, Windows Server 2016 (Server Core installation), Windows 11 version 22H2, Windows Server 2016, Windows Server 2022, 23H2 Edition (Server Core installation), Windows Server 2019, Windows 11 version 22H3, Windows Server 2022, Windows 10 Version 1809, Windows Server 2019 (Server Core installation), Windows 10 Version 21H2, Windows 11 Version 24H2, Windows 11 Version 23H2, Windows Server 2025, Windows 10 Version 22H2",Microsoft,Acceptance of extraneous untrusted data with trusted data in UrlMon allows an unauthorized attacker to bypass a security feature over a network.,"May 17, 2025, 2:32:51 AM"
EUVD-2025-14422,5.9,Medium,"Windows Server 2012 R2, Windows 10 Version 1607, Windows Server 2022, Windows Server 2019 (Server Core installation), Windows 10 Version 22H2, Windows 10 Version 21H2, Windows Server 2012 R2 (Server Core installation), Windows 10 Version 1809, Windows Server 2016 (Server Core installation), Windows Server 2008  Service Pack 2, Windows Server 2008 R2 Service Pack 1, Windows Server 2022, 23H2 Edition (Server Core installation), Windows Server 2016, Windows Server 2012 (Server Core installation), Windows Server 2012, Windows 11 Version 23H2, Windows 10 Version 1507, Windows Server 2019, Windows 11 version 22H3, Windows Server 2008 Service Pack 2 (Server Core installation), Windows Server 2008 Service Pack 2, Windows 11 version 22H2, Windows Server 2008 R2 Service Pack 1 (Server Core installation)",Microsoft,Uncontrolled resource consumption in Windows LDAP - Lightweight Directory Access Protocol allows an unauthorized attacker to deny service over a network.,"May 17, 2025, 2:32:51 AM"
EUVD-2025-14425,8.8,High,"Windows Server 2016 (Server Core installation), Windows 10 Version 22H2, Windows Server 2019, Windows Server 2022, Windows Server 2016, Windows 11 version 22H2, Windows Server 2022, 23H2 Edition (Server Core installation), Windows 11 version 22H3, Windows Server 2019 (Server Core installation), Windows 10 Version 1809, Windows 11 Version 23H2, Windows 10 Version 21H2, Windows 10 Version 1507, Windows 10 Version 1607",Microsoft,Stack-based buffer overflow in Windows Media allows an unauthorized attacker to execute code over a network.,"May 17, 2025, 2:32:50 AM"
EUVD-2025-14424,7.0,High,"Windows 10 Version 22H2, Windows Server 2022, Windows Server 2022, 23H2 Edition (Server Core installation), Windows 11 version 22H3, Windows 10 Version 21H2, Windows Server 2025 (Server Core installation), Windows 11 version 22H2, Windows 11 Version 24H2, Windows Server 2025, Windows 11 Version 23H2",Microsoft,Concurrent execution using shared resource with improper synchronization ('race condition') in Universal Print Management Service allows an authorized attacker to elevate privileges locally.,"May 17, 2025, 2:32:50 AM"
EUVD-2025-14426,4.0,Medium,"Windows Server 2025, Windows Server 2008  Service Pack 2, Windows 10 Version 21H2, Windows 11 Version 24H2, Windows Server 2008 Service Pack 2, Windows Server 2008 R2 Service Pack 1, Windows Server 2022, 23H2 Edition (Server Core installation), Windows 10 Version 1607, Windows Server 2025 (Server Core installation), Windows 10 Version 22H2, Windows Server 2022, Windows 10 Version 1507, Windows 11 Version 23H2, Windows Server 2008 R2 Service Pack 1 (Server Core installation), Windows Server 2012 R2 (Server Core installation), Windows Server 2019 (Server Core installation), Windows Server 2012 (Server Core installation), Windows 11 version 22H3, Windows 10 Version 1809, Windows Server 2016 (Server Core installation), Windows Server 2012 R2, Windows Server 2008 Service Pack 2 (Server Core installation), Windows 11 version 22H2, Windows Server 2012, Windows Server 2016, Windows Server 2019",Microsoft,Out-of-bounds read in Windows File Server allows an unauthorized attacker to disclose information locally.,"May 17, 2025, 2:32:49 AM"
EUVD-2025-14428,5.5,Medium,"Windows Server 2008  Service Pack 2, Windows Server 2012 R2, Windows 10 Version 22H2, Windows Server 2022, 23H2 Edition (Server Core installation), Windows 10 Version 21H2, Windows Server 2025, Windows Server 2016, Windows 10 Version 1607, Windows Server 2019 (Server Core installation), Windows 10 Version 1507, Windows Server 2008 R2 Service Pack 1, Windows Server 2012 (Server Core installation), Windows Server 2016 (Server Core installation), Windows 11 Version 23H2, Windows 10 Version 1809, Windows Server 2008 R2 Service Pack 1 (Server Core installation), Windows Server 2008 Service Pack 2 (Server Core installation), Windows Server 2012 R2 (Server Core installation), Windows Server 2019, Windows 11 version 22H2, Windows 11 version 22H3, Windows Server 2025 (Server Core installation), Windows Server 2012, Windows 11 Version 24H2, Windows Server 2008 Service Pack 2, Windows Server 2022",Microsoft,Improper link resolution before file access ('link following') in Windows Installer allows an authorized attacker to disclose information locally.,"May 17, 2025, 2:32:48 AM"
EUVD-2025-14430,6.5,Medium,"Windows 10 Version 1809, Windows Server 2012 R2 (Server Core installation), Windows Server 2012 (Server Core installation), Windows 11 Version 23H2, Windows Server 2008 R2 Service Pack 1 (Server Core installation), Windows Server 2016, Windows 11 Version 24H2, Windows 11 version 22H3, Windows Server 2019 (Server Core installation), Windows Server 2008 R2 Service Pack 1, Windows Server 2019, Windows Server 2012, Windows 10 Version 22H2, Windows 10 Version 1607, Windows Server 2025 (Server Core installation), Windows Server 2022, Windows Server 2022, 23H2 Edition (Server Core installation), Windows 10 Version 21H2, Windows Server 2016 (Server Core installation), Windows Server 2025, Windows 11 version 22H2, Windows Server 2012 R2, Windows 10 Version 1507",Microsoft,Out-of-bounds read in Windows Routing and Remote Access Service (RRAS) allows an unauthorized attacker to disclose information over a network.,"May 17, 2025, 2:32:47 AM"
EUVD-2025-14429,6.5,Medium,"Windows Server 2012, Windows Server 2012 R2 (Server Core installation), Windows Server 2019 (Server Core installation), Windows 11 version 22H2, Windows Server 2025 (Server Core installation), Windows Server 2012 (Server Core installation), Windows Server 2019, Windows Server 2008  Service Pack 2, Windows 10 Version 1809, Windows Server 2016, Windows 11 version 22H3, Windows 10 Version 22H2, Windows Server 2008 Service Pack 2, Windows Server 2016 (Server Core installation), Windows Server 2008 Service Pack 2 (Server Core installation), Windows Server 2025, Windows Server 2022, 23H2 Edition (Server Core installation), Windows 10 Version 21H2, Windows Server 2008 R2 Service Pack 1, Windows Server 2012 R2, Windows 10 Version 1507, Windows 11 Version 23H2, Windows Server 2022, Windows 10 Version 1607, Windows 11 Version 24H2, Windows Server 2008 R2 Service Pack 1 (Server Core installation)",Microsoft,Out-of-bounds read in Windows Routing and Remote Access Service (RRAS) allows an unauthorized attacker to disclose information over a network.,"May 17, 2025, 2:32:47 AM"
EUVD-2025-14432,6.5,Medium,"Windows Server 2012 R2 (Server Core installation), Windows 11 version 22H3, Windows Server 2008 Service Pack 2 (Server Core installation), Windows Server 2016, Windows Server 2019, Windows 10 Version 1607, Windows Server 2008 R2 Service Pack 1, Windows Server 2008 Service Pack 2, Windows Server 2025, Windows 11 Version 23H2, Windows Server 2019 (Server Core installation), Windows Server 2012 R2, Windows Server 2008  Service Pack 2, Windows Server 2012, Windows Server 2022, 23H2 Edition (Server Core installation), Windows 11 version 22H2, Windows Server 2022, Windows Server 2012 (Server Core installation), Windows 11 Version 24H2, Windows Server 2025 (Server Core installation), Windows Server 2008 R2 Service Pack 1 (Server Core installation), Windows 10 Version 21H2, Windows 10 Version 22H2, Windows 10 Version 1507, Windows Server 2016 (Server Core installation), Windows 10 Version 1809",Microsoft,Out-of-bounds read in Windows Routing and Remote Access Service (RRAS) allows an unauthorized attacker to disclose information over a network.,"May 17, 2025, 2:32:46 AM"
EUVD-2025-14431,7.7,High,"Windows Server 2019, Windows 11 Version 24H2, Windows Server 2022, 23H2 Edition (Server Core installation), Windows Server 2022, Windows 11 Version 23H2, Windows 10 Version 1809, Windows Server 2025, Windows Server 2025 (Server Core installation), Windows Server 2012 R2, Windows Server 2019 (Server Core installation), Windows 11 version 22H2, Windows Server 2016 (Server Core installation), Windows 10 Version 1507, Windows 10 Version 21H2, Windows 11 version 22H3, Windows Server 2016, Windows Server 2012 (Server Core installation), Windows Server 2012 R2 (Server Core installation), Windows Server 2012, Windows 10 Version 1607, Windows 10 Version 22H2",Microsoft,Time-of-check time-of-use (toctou) race condition in Windows Virtual Machine Bus allows an unauthorized attacker to execute code locally.,"May 17, 2025, 2:32:46 AM"
EUVD-2025-14435,5.5,Medium,"Windows 10 Version 21H2, Windows 11 version 22H2, Windows 11 Version 23H2, Windows 10 Version 1607, Windows Server 2022, Windows Server 2016 (Server Core installation), Windows Server 2022, 23H2 Edition (Server Core installation), Windows 11 version 22H3, Windows 10 Version 1809, Windows Server 2019, Windows Server 2025, Windows 10 Version 22H2, Windows Server 2025 (Server Core installation), Windows 11 Version 24H2, Windows Server 2016, Windows Server 2019 (Server Core installation), Windows 10 Version 1507",Microsoft,Use of uninitialized resource in Windows Trusted Runtime Interface Driver allows an authorized attacker to disclose information locally.,"May 17, 2025, 2:32:44 AM"
EUVD-2025-14434,6.5,Medium,"Windows 11 Version 23H2, Windows 10 Version 1507, Windows Server 2012 R2, Windows Server 2008 R2 Service Pack 1 (Server Core installation), Windows 10 Version 21H2, Windows 11 version 22H3, Windows Server 2025 (Server Core installation), Windows Server 2016 (Server Core installation), Windows Server 2008 Service Pack 2 (Server Core installation), Windows Server 2025, Windows Server 2012 (Server Core installation), Windows Server 2016, Windows 10 Version 1809, Windows Server 2008 R2 Service Pack 1, Windows Server 2008 Service Pack 2, Windows 11 version 22H2, Windows 10 Version 1607, Windows 10 Version 22H2, Windows Server 2012, Windows Server 2012 R2 (Server Core installation), Windows Server 2019, Windows Server 2022, Windows Server 2019 (Server Core installation), Windows 11 Version 24H2, Windows Server 2008  Service Pack 2, Windows Server 2022, 23H2 Edition (Server Core installation)",Microsoft,Use of uninitialized resource in Windows Routing and Remote Access Service (RRAS) allows an unauthorized attacker to disclose information over a network.,"May 17, 2025, 2:32:44 AM"
EUVD-2025-14437,6.7,Medium,"Windows 10 HLK version 20H2, Windows 10 HLK Version 1809, Windows HLK for Windows Server 2025, Windows 11 HLK 24H2, Windows 10 HLK version 21H2, Windows 10 HLK Version 22H2, Windows HLK for Windows 10 version 2004, Windows HLK for Windows Server 2022, Windows 10 HLK version 21H1, Windows 11 HLK 22H2, Windows HLK for Windows Server 2019",Microsoft,Use of hard-coded credentials in Windows Hardware Lab Kit allows an authorized attacker to elevate privileges locally.,"May 17, 2025, 2:32:43 AM"
EUVD-2025-14439,7.8,High,"Windows 11 version 22H2, Windows Server 2012 R2 (Server Core installation), Windows Server 2019, Windows Server 2019 (Server Core installation), Windows Server 2008  Service Pack 2, Windows Server 2008 Service Pack 2 (Server Core installation), Windows Server 2025 (Server Core installation), Windows Server 2008 R2 Service Pack 1, Windows Server 2008 R2 Service Pack 1 (Server Core installation), Windows Server 2012 (Server Core installation), Windows Server 2016 (Server Core installation), Windows Server 2022, 23H2 Edition (Server Core installation), Windows Server 2012, Windows 10 Version 22H2, Windows Server 2016, Windows 10 Version 1809, Windows 10 Version 21H2, Windows 11 Version 24H2, Windows Server 2008 Service Pack 2, Windows Server 2022, Windows 10 Version 1607, Windows Server 2025, Windows 11 version 22H3, Windows 11 Version 23H2, Windows 10 Version 1507, Windows Server 2012 R2",Microsoft,Use after free in Windows Ancillary Function Driver for WinSock allows an authorized attacker to elevate privileges locally.,"May 17, 2025, 2:32:42 AM"
EUVD-2025-14441,7.8,High,"Windows Server 2008  Service Pack 2, Windows 10 Version 1607, Windows 10 Version 22H2, Windows 10 Version 1507, Windows 11 Version 23H2, Windows Server 2016 (Server Core installation), Windows Server 2008 Service Pack 2 (Server Core installation), Windows Server 2008 Service Pack 2, Windows Server 2012 (Server Core installation), Windows Server 2019 (Server Core installation), Windows Server 2008 R2 Service Pack 1, Windows Server 2019, Windows Server 2025, Windows 11 version 22H2, Windows 10 Version 21H2, Windows Server 2008 R2 Service Pack 1 (Server Core installation), Windows 11 version 22H3, Windows 11 Version 24H2, Windows Server 2012 R2 (Server Core installation), Windows Server 2025 (Server Core installation), Windows Server 2022, 23H2 Edition (Server Core installation), Windows Server 2012 R2, Windows 10 Version 1809, Windows Server 2012, Windows Server 2016, Windows Server 2022",Microsoft,Improper input validation in Windows Common Log File System Driver allows an authorized attacker to elevate privileges locally.,"May 17, 2025, 2:32:40 AM"
EUVD-2025-14443,7.8,High,"Windows Server 2012 R2, Windows Server 2022, Windows Server 2019, Windows 10 Version 1507, Windows 10 Version 1607, Windows Server 2016 (Server Core installation), Windows 11 version 22H2, Windows 10 Version 22H2, Windows 10 Version 21H2, Windows Server 2008 R2 Service Pack 1, Windows Server 2008 Service Pack 2, Windows Server 2025, Windows Server 2016, Windows Server 2008 R2 Service Pack 1 (Server Core installation), Windows Server 2008 Service Pack 2 (Server Core installation), Windows Server 2022, 23H2 Edition (Server Core installation), Windows Server 2012 R2 (Server Core installation), Windows Server 2012 (Server Core installation), Windows Server 2025 (Server Core installation), Windows Server 2012, Windows 11 Version 23H2, Windows 11 Version 24H2, Windows Server 2019 (Server Core installation), Windows 11 version 22H3, Windows Server 2008  Service Pack 2, Windows 10 Version 1809",Microsoft,Use after free in Windows Common Log File System Driver allows an authorized attacker to elevate privileges locally.,"May 17, 2025, 2:32:39 AM"
EUVD-2025-14444,7.8,High,"Windows Server 2022, Windows Server 2025 (Server Core installation), Windows 11 Version 23H2, Windows 10 Version 21H2, Windows Server 2019 (Server Core installation), Windows Server 2019, Windows 11 version 22H2, Windows 11 version 22H3, Windows 10 Version 1809, Windows 11 Version 24H2, Windows 10 Version 22H2, Windows Server 2025, Windows Server 2022, 23H2 Edition (Server Core installation)",Microsoft,Use after free in Windows DWM allows an authorized attacker to elevate privileges locally.,"May 17, 2025, 2:32:38 AM"
EUVD-2025-14448,7.0,High,"Windows 11 version 22H3, Windows Server 2022, 23H2 Edition (Server Core installation), Windows 10 Version 22H2, Windows Server 2012 R2, Windows 10 Version 21H2, Windows 10 Version 1507, Windows 11 Version 23H2, Windows 10 Version 1607, Windows Server 2012 (Server Core installation), Windows Server 2016 (Server Core installation), Windows Server 2022, Windows Server 2019, Windows 11 Version 24H2, Windows Server 2012 R2 (Server Core installation), Windows 10 Version 1809, Windows Server 2012, Windows Server 2016, Windows Server 2025 (Server Core installation), Windows Server 2025, Windows Server 2019 (Server Core installation), Windows 11 version 22H2",Microsoft,Improper privilege management in Windows Secure Kernel Mode allows an authorized attacker to elevate privileges locally.,"May 17, 2025, 2:32:36 AM"
EUVD-2025-14468,7.5,High,"Windows Server 2025 (Server Core installation), Windows Server 2016 (Server Core installation), Windows 10 Version 1507, Windows Server 2008 R2 Service Pack 1, Windows 10 Version 21H2, Windows 10 Version 1809, Windows Server 2012 R2 (Server Core installation), Windows 11 Version 24H2, Windows Server 2008  Service Pack 2, Windows Server 2022, Windows Server 2012 R2, Windows 10 Version 1607, Windows 11 version 22H3, Windows Server 2025, Windows Server 2016, Windows 11 version 22H2, Windows Server 2008 Service Pack 2 (Server Core installation), Windows Server 2022, 23H2 Edition (Server Core installation), Windows 11 Version 23H2, Windows Server 2012 (Server Core installation), Windows Server 2012, Windows Server 2008 R2 Service Pack 1 (Server Core installation), Windows Server 2008 Service Pack 2, Windows Server 2019 (Server Core installation), Windows Server 2019, Windows 10 Version 22H2",Microsoft,Time-of-check time-of-use (toctou) race condition in Windows Fundamentals allows an authorized attacker to execute code over a network.,"May 17, 2025, 2:32:25 AM"
EUVD-2025-14471,8.8,High,"Windows 10 Version 22H2, Windows Server 2025, Remote Desktop client for Windows Desktop, Windows 11 Version 23H2, Windows Server 2022, 23H2 Edition (Server Core installation), Windows Server 2022, Windows Server 2025 (Server Core installation), Windows Server 2016 (Server Core installation), Windows Server 2012 (Server Core installation), Windows Server 2019, Windows 11 Version 24H2, Windows 10 Version 1507, Windows Server 2008 R2 Service Pack 1, Windows 10 Version 1809, Windows 10 Version 21H2, Windows Server 2016, Windows Server 2008 R2 Service Pack 1 (Server Core installation), Windows Server 2012 R2 (Server Core installation), Windows 11 version 22H2, Windows Server 2012, Windows Server 2012 R2, Windows Server 2019 (Server Core installation), Windows 10 Version 1607, Windows 11 version 22H3, Windows App Client for Windows Desktop",Microsoft,Heap-based buffer overflow in Windows Remote Desktop allows an unauthorized attacker to execute code over a network.,"May 17, 2025, 2:32:23 AM"
EUVD-2025-14470,8.8,High,"Windows 11 Version 24H2, Windows Server 2022, Windows 11 version 22H2, Windows 11 version 22H3, Windows Server 2012 (Server Core installation), Windows Server 2022, 23H2 Edition (Server Core installation), Windows Server 2025, Windows 10 Version 22H2, Windows Server 2008 R2 Service Pack 1, Windows 10 Version 1607, Windows Server 2008 R2 Service Pack 1 (Server Core installation), Windows Server 2016 (Server Core installation), Windows 10 Version 21H2, Windows Server 2016, Windows Server 2012 R2 (Server Core installation), Remote Desktop client for Windows Desktop, Windows Server 2012 R2, Windows Server 2019, Windows Server 2012, Windows Server 2019 (Server Core installation), Windows 10 Version 1507, Windows Server 2025 (Server Core installation), Windows App Client for Windows Desktop, Windows 11 Version 23H2, Windows 10 Version 1809",Microsoft,Heap-based buffer overflow in Remote Desktop Gateway Service allows an unauthorized attacker to execute code over a network.,"May 17, 2025, 2:32:23 AM"
